# swept,retriever × k (page P/R/F1)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV/V
# pool,answerable
# page_selection,retrieved (bm25 text / colqwen2.5 vision / joint)
# prompt_mode,none
retriever,modality,k,doc_type,P,R,F1,n
colqwen2.5,vision,10,Research report / Introduction,0.164,0.856,0.253,212
colqwen2.5,vision,10,Tutorial/Workshop,0.155,0.862,0.243,112
colqwen3,vision,1,Academic paper,0.682,0.520,0.567,154
colqwen3,vision,1,Administration/Industry file,0.734,0.585,0.618,64
colqwen3,vision,1,Brochure,0.727,0.587,0.627,77
colqwen3,vision,1,Financial report,0.593,0.472,0.510,108
colqwen3,vision,1,Guidebook,0.683,0.555,0.593,120
colqwen3,vision,1,Research report / Introduction,0.741,0.544,0.597,212
colqwen3,vision,1,Tutorial/Workshop,0.750,0.558,0.609,112
colqwen3,vision,3,Academic paper,0.387,0.792,0.495,154
colqwen3,vision,3,Administration/Industry file,0.401,0.781,0.477,64
colqwen3,vision,3,Brochure,0.346,0.743,0.447,77
colqwen3,vision,3,Financial report,0.272,0.623,0.367,108
colqwen3,vision,3,Guidebook,0.347,0.738,0.446,120
colqwen3,vision,3,Research report / Introduction,0.392,0.730,0.472,212
colqwen3,vision,3,Tutorial/Workshop,0.411,0.767,0.495,112
colqwen3,vision,5,Academic paper,0.265,0.870,0.387,154
colqwen3,vision,5,Administration/Industry file,0.288,0.832,0.375,64
colqwen3,vision,5,Brochure,0.236,0.802,0.346,77
colqwen3,vision,5,Financial report,0.198,0.730,0.303,108
colqwen3,vision,5,Guidebook,0.227,0.769,0.330,120
colqwen3,vision,5,Research report / Introduction,0.285,0.818,0.388,212
colqwen3,vision,5,Tutorial/Workshop,0.268,0.793,0.370,112
colqwen3,vision,7,Academic paper,0.201,0.897,0.314,154
colqwen3,vision,7,Administration/Industry file,0.228,0.856,0.313,64
colqwen3,vision,7,Brochure,0.197,0.877,0.304,77
colqwen3,vision,7,Financial report,0.148,0.758,0.242,108
colqwen3,vision,7,Guidebook,0.176,0.802,0.271,120
colqwen3,vision,7,Research report / Introduction,0.225,0.853,0.326,212
colqwen3,vision,7,Tutorial/Workshop,0.207,0.818,0.304,112
colqwen3,vision,10,Academic paper,0.154,0.935,0.252,154
colqwen3,vision,10,Administration/Industry file,0.178,0.905,0.259,64
colqwen3,vision,10,Brochure,0.148,0.914,0.242,77
colqwen3,vision,10,Financial report,0.113,0.809,0.195,108
colqwen3,vision,10,Guidebook,0.133,0.826,0.215,120
colqwen3,vision,10,Research report / Introduction,0.174,0.884,0.266,212
colqwen3,vision,10,Tutorial/Workshop,0.155,0.843,0.242,112
n (per col),-,-,-,-,-,-,-
